epoch,loss,acc,val_loss,val_acc
1,7.9112420082092285,0.006547089200466871,36.619625091552734,0.06714916229248047
2,6.8340840339660645,0.0911959782242775,31.240013122558594,0.11974082142114639
3,6.1025710105896,0.10614380985498428,29.21492576599121,0.11206501722335815
4,5.642345428466797,0.135101318359375,27.43117332458496,0.15464697778224945
5,5.279849529266357,0.17456580698490143,26.194753646850586,0.19130180776119232
6,4.955684661865234,0.20563988387584686,25.287246704101562,0.20585554838180542
7,4.676843166351318,0.23461706936359406,24.482444763183594,0.2327117919921875
8,4.4428229331970215,0.26244330406188965,23.87940216064453,0.24949096143245697
9,4.221659183502197,0.28047898411750793,23.353296279907227,0.2639281749725342
10,4.014369487762451,0.30525463819503784,23.00067710876465,0.2716331481933594
11,3.8306782245635986,0.3240385353565216,22.733062744140625,0.2748385965824127
12,3.6637156009674072,0.34452369809150696,22.38445472717285,0.29044458270072937
13,3.5307798385620117,0.3614288568496704,22.221343994140625,0.29064109921455383
14,3.3719351291656494,0.381498247385025,22.11973762512207,0.2969064712524414
15,3.234454870223999,0.3971206843852997,21.9406795501709,0.29760777950286865
16,3.1065893173217773,0.4143953025341034,21.78199577331543,0.30338311195373535
17,3.000610589981079,0.4335204064846039,21.782440185546875,0.29872259497642517
18,2.8640434741973877,0.4467701017856598,21.68511390686035,0.3020498752593994
19,2.7738895416259766,0.4605374336242676,21.73981475830078,0.30386465787887573
20,2.685291290283203,0.46940383315086365,21.607528686523438,0.3005039691925049
21,2.58736252784729,0.48150742053985596,21.48515510559082,0.3079528510570526
22,2.492147445678711,0.49751076102256775,21.573328018188477,0.30636119842529297
23,2.40431809425354,0.507591724395752,21.52564811706543,0.30696922540664673
24,2.348374128341675,0.5178771615028381,21.494094848632812,0.3071192800998688
